bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort,littercond,littercort
W9208,F,1992,W9208.1992,1991,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8808,W8503,W8808.1991,102,1993,-22.59,3.87,39.5,50,0.79,4,3.64,,
W9507,F,1995,W9507.1995,1994,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8906,W8607,W8906.1994,57,1996,-23.2,3.64,28,42,0.67,4,4.94,,
W9504,F,1995,W9504.1995,1994,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W8807,W9308.1994,55,1996,-22.8,4.52,35,46.5,0.75,5,3.76,,
W9613,F,1995,W9613.1995,1995,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8808,W8806,W8808.1995,72,1996,-23.37,4.44,26,43,0.6,4,5.53,,
W9605,F,1996,W9605.1996,1995,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8811,W9921,W8811.1995,26,1997,-22.34,4.81,53,47,1.13,4,2.32,,
W9605,F,1997,W9605.1997,1995,2,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8811,W9921,W8811.1995,137,1998,-22.1,6.16,64,57,1.12,4,2.43,,
W9615,F,1995,W9615.1995,1995,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8905,W9409,W8905.1995,74,1996,-22.95,4.48,21,39.5,0.53,4,5.77,,
W9601,F,1996,W9601.1996,1995,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN19,W9003.1995,24,1997,-22.63,5.13,41,46,0.89,4,2.99,,
W9601,F,1997,W9601.1997,1995,2,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN19,W9003.1995,136,1998,-22.99,4.87,72,54,1.33,4,3.09,,
W9602,F,1995,W9602.1995,1995,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN27,W9003.1995,63,1996,-22.92,4.86,18,39,0.46,4,4.39,,
W0107,F,2004,W0107.2004,2000,4,NA,1,l,Sfem,0,unknown,unknown,N,unknown,C,W9003,W0801,W9003.2000,418,2005,-22.88,5.07,79,59,1.34,4,4.83,,
W9602,F,1996,W9602.1996,1995,1,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN27,W9003.1995,25,1997,-22.28,5.12,45,45,1,4,2.31,,
W9606,F,1995,W9606.1995,1995,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9207,W9002,W9207.1995,66,1996,-23.66,4.67,21,41,0.51,4,4.51,,
W9607,F,1995,W9607.1995,1995,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9207,W9002,W9207.1995,67,1996,-23.56,4.54,21,40,0.53,4,4.33,,
W9703,F,1996,W9703.1996,1996,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8904,W9011,W8904.1996,32,1997,-22.61,5.85,37,43,0.86,4,3.75,,
W9804,F,1997,W9804.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W9811,W9008.1997,147,1998,-23.17,4.81,27,43,0.63,4,4.18,,
W9805,F,1997,W9805.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9008,W9811,W9008.1997,148,1998,-23.22,4.8,25,40,0.63,4,4.69,,
W9808,F,1997,W9808.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9306,UNKNOWN19,W9306.1997,150,1998,-23.23,4.51,24,42,0.57,4,4.65,,
W9812,F,1997,W9812.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W8807,W9308.1997,153,1998,-23.11,4.94,20,42,0.48,4,3.56,,
W9812,F,1997,W9812.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W8807,W9308.1997,154,1998,-22.56,4.6,20,42,0.48,4,5.36,,
W9812,F,1999,W9812.1999,1997,2,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W8807,W9308.1997,225,2000,-22.6,5.34,63,55,1.15,6,3.86,,
W9814,F,1997,W9814.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9308,W8807,W9308.1997,156,1998,-22.7,5.3,23,42,0.55,4,4.23,,
W9803,F,1997,W9803.1997,1997,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9310,V184106,W9310.1997,146,1998,-22.88,5.23,28,43,0.65,4,3.65,,
W9910,F,1998,W9910.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8808,02WW96,W8808.1998,177,1999,-22.84,5,27,50,0.54,6,4.37,,
W9911,F,1998,W9911.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8808,W9301,W8808.1998,178,1999,-22.99,4.92,22.5,38,0.59,4,4.42,,
W0323,F,2004,W0323.2004,2000,4,NA,1,l,Sfem,0,unknown,unknown,N,unknown,C,NA,NA,NA.2000,429,2005,-22.81,4.55,94,60,1.57,4,3.75,,
W9912,F,1998,W9912.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8808,UNKNOWN02,W8808.1998,179,1999,-22.88,4.79,21,39,0.54,4,4.31,,
W9919,F,1998,W9919.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W8906,W9807,W8906.1998,186,1999,-22.78,5.26,22,40,0.55,4,4.24,,
W9908,F,1998,W9908.1998,1998,0,NA,4,m,Wmother,0,unknown,unknown,N,unknown,C,W9003,UNKNOWN19,W9003.1998,176,1999,-22.77,4.69,23,41.5,0.55,4,4.13,,
