bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,year,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,family.group,length.mat.care,n.LMC,litter.size,mean.offspring.condition
W0004_2009,W0004,2008,F,1994,15,SolitaryF,4.06,-22.764,96,63,39920,11.02,1.523809524,2008,2009,Öda,s,s,s,3,s,l,d,NA,NA,NA,NA,NA,3,january-may,yes,2,95SS93,W9002,200,cd,3,3,
W0212_2007,W0212,2006,F,2001,6,SolitaryF,5.09,-23.478,81,59,39222,3.8158,1.372881356,2006,2007,Salma,b,NA,NA,NA,l,l,l,l,l,l,l,l,unknown,unknown,yes,0,W9307,W9701,201,cd,3,,
W0212_2006,W0212,2005,F,2001,5,SolitaryF,5.16,-23.26,93,60,38830,3.1298,1.55,2005,2006,Salma,b,s,s,NA,l,l,l,l,l,l,l,l,unknown,unknown,yes,0,W9307,W9701,202,cd,3,,
W0219_2010,W0219,2009,F,2001,9,SolitaryF,4.9,-23.632,84,63,40318,8.4,1.333333333,2009,2010,Ljöra,b,s,s,3,s,s,2,s,s,s,s,s,3,january-december,no,0,W9008,W0202,203,cd,3,3,
W0229_2005,W0229,2004,F,1998,7,SolitaryF,4.81,-22.772,92,58,38460,3.7864,1.586206897,2004,2005,Unna,b,s,s,s,3,s,3,s,s,3,s,s,3,january-december,no,0,unknown,unknown,204,cd,3,3,
W0323_2005,W0323,2004,F,2000,5,SolitaryF,4.55,-22.812,94,60,38458,3.7472,1.566666667,2004,2005,Löva,b,s,s,NA,l,l,l,NA,NA,NA,NA,NA,unknown,unknown,yes,0,W0124,unknown,205,cd,3,0,
W0405_2007,W0405,2006,F,2003,4,SolitaryF,5.04,-22.918,72,57.5,39252,2.25,1.252173913,2006,2007,Kroka,b,s,s,1,l,l,l,l,NA,NA,NA,NA,1,january-april,yes,0,W9007,W9916,206,cd,3,1,
W0411_2009,W0411,2008,F,2003,6,SolitaryF,4.85,-23.094,90,58,39947,8.47,1.551724138,2008,2009,Kassika,b,NA,NA,l,l,l,l,l,l,l,NA,NA,0,unknown,yes,0,W9307,W9701,207,cd,3,0,
W0411_2007,W0411,2006,F,2003,4,SolitaryF,5.11,-23.638,85,57,39184,3.8746,1.49122807,2006,2007,Kassika,b,s,s,1,1,s,1,NA,NA,NA,NA,NA,1,unknown,unknown,0,W9307,W9701,208,cd,3,1,
W0415_2007,W0415,2006,F,2003,4,SolitaryF,4.39,-22.648,74,57,39222,2.6006,1.298245614,2006,2007,Gnolla,b,s,s,1,l,l,l,l,l,d,NA,NA,1,january-april,yes,0,W9913,W0201,209,cd,3,1,
W0422_2009,W0422,2008,F,2003,6,SolitaryF,4.18,-22.704,82,62,39923,8.8,1.322580645,2008,2009,Jämta,b,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,0,W0004,W9401,210,cd,3,1,
W0503_2008,W0503,2007,F,2004,4,SolitaryF,4.86,-22.716,70,57,39567,4.6488,1.228070175,2007,2008,Påranäva,b,NA,NA,l,l,l,l,l,l,l,l,l,0,unknown,yes,0,W9806,unknown,211,cd,3,0,
W0504_2010,W0504,2009,F,2004,6,SolitaryF,4.22,-22.832,80,62,40295,4.43,1.290322581,2009,2010,Räva,b,s,s,s,s,s,1,NA,NA,d,NA,NA,1,unknown,yes,0,W0326,unknown,212,cd,3,1,
W0507_2009,W0507,2008,F,2004,5,SolitaryF,4.39,-22.464,96,63,39932,7.54,1.523809524,2008,2009,Läfta,b,NA,NA,l,l,l,l,l,l,d,NA,NA,0,unknown,yes,0,W8906,unknown,213,cd,3,0,
W0507_2008,W0507,2007,F,2004,4,SolitaryF,4.16,-22.736,63,58,39556,2.5908,1.086206897,2007,2008,Läfta,b,s,s,2,l,l,l,l,l,l,l,l,2,january-april,yes,0,W8906,unknown,214,cd,3,2,
