bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,fAGE,year,fREPRO,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,FG
W0005_2000,W0005,1999,M,1999,1,WithMother,5.44,-22.822,45,46,4/10/2000,4.3646,0.97826087,1999,1,2000,4,Öda_k1:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W0004,W8601,1
W0004_2000,W0004,1999,F,1994,6,WithCubs,4.62,-22.652,95,59,4/10/2000,5.0114,1.610169492,1999,6,2000,3,Öda,s,s,s,1,1,l,l,l,l,l,l,l,1,january-may,yes,1,95SS93,W9002,1
W0213_2002,W0213,2001,M,2001,1,WithMother,4.69,-22.978,24,42.5,4/22/2002,5.374,0.564705882,2001,1,2002,4,Öda_k2:2,m,m,m,m,m,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W0004,unknown,2
W0214_2002,W0214,2001,F,2001,1,WithMother,4.72,-23.038,27,41.5,4/22/2002,5.3152,0.65060241,2001,1,2002,4,Jäska,m,m,m,m,m,m,l,l,l,d,NA,NA,0,NA,NA,NA,W0004,unknown,2
W0004_2002,W0004,2001,F,1994,8,WithCubs,4.27,-22.728,86,60,4/22/2002,5.2956,1.433333333,2001,8,2002,3,Öda,s,s,s,2,2,s,l,l,l,l,l,l,2,january-june,yes,1,95SS93,W9002,2
W0408_2004,W0408,2003,M,2003,1,WithMother,4.56,-23.254,29,42.5,4/16/2004,8.66,0.682352941,2003,1,2004,4,Öda_k3:1,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,W0004,W9401,3
W0422_2004,W0422,2003,F,2003,1,WithMother,4.36,-23.154,27,40,4/20/2004,7.75,0.675,2003,1,2004,4,Jämta,m,m,m,m,m,m,m,l,l,l,l,l,0,NA,NA,NA,W0004,W9401,3
W0004_2004,W0004,2003,F,1994,10,WithCubs,4.02,-22.844,95,62,4/16/2004,6.34,1.532258065,2003,10,2004,3,Öda,s,s,s,2,s,2,2,l,l,l,l,l,2,january-july,yes,1,95SS93,W9002,3
W0620_2006,W0620,2005,F,2005,1,WithMother,5.36,-22.99,25,40,5/2/2006,6.795,0.625,2005,1,2006,4,Tvåska,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W0004,unknown,4
W0004_2006,W0004,2005,F,1994,12,WithCubs,4.47,-22.93,95,64,5/2/2006,5.913,1.484375,2005,12,2006,3,Öda,s,s,s,s,1,l,l,l,l,l,l,l,1,january-may,yes,1,95SS93,W9002,4
