bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W8811,F,1996,W8811.1996,1978,18,W8811.1995,3,s,Wcubs,3,no,1,M,2.5,C,NA,NA,NA.1978,3,1997,-22.588,4.99,104,62,1.677419355,4,3.512
W0104,F,2009,W0104.2009,2000,9,W0104.2008,3,s,Wcubs,2,no,1,M,2.5,FR,W9909,UNKNOWN01,W9909.2000,792,2010,-22.912,4.8,97,62,1.564516129,4,5.64
W0231,F,2008,W0231.2008,1992,16,W0231.2007,3,s,Wcubs,2,no,1,M,2.5,NA,W0121,W8809,W0121.1992,739,2009,-22.784,4.86,83,67,1.23880597,4,8.8
W0720,F,2010,W0720.2010,2000,10,W0720.2009,3,s,Wcubs,2,no,1,M,2.5,NA,W0325,W0012,W0325.2000,681,2011,-22.87,4.65,56,56,1,4,10.03
W0720,F,2014,W0720.2014,2000,14,W0720.2013,3,s,Wcubs,2,no,1,M,2.5,NA,W0325,W0012,W0325.2000,724,2015,-22.992,4.48,76.6,59,1.298305085,4,13
W8905,F,1996,W8905.1996,1987,9,W8905.1995,3,s,Wcubs,2,yes,1,M,1.5,NA,NA,W8804,NA.1987,5,1997,-22.858,4.98,90,58,1.551724138,6,2.4046
W9003,F,1996,W9003.1996,1989,7,W9003.1995,3,s,Wcubs,2,no,1,M,2.5,NA,W8802,UNKNOWN25,W8802.1989,7,1997,-22.728,5.03,103,59,1.745762712,4,3.6394
W9403,F,2006,W9403.2006,1993,13,W9403.2005,3,s,Wcubs,2,no,1,M,2.5,NA,W8808,W8607,W8808.1993,479,2007,-23.038,4.82,90,61,1.475409836,5,4.2666
W9403,F,2009,W9403.2009,1993,16,W9403.2008,3,s,Wcubs,3,no,1,M,2.5,NA,W8808,W8607,W8808.1993,788,2010,-23.082,4.52,87,57,1.526315789,4,7.72
W9814,F,2011,W9814.2011,1997,14,W9814.2009,3,s,Wcubs,2,yes,2,M,2.5,NA,W9308,W8807,W9308.1997,633,2012,-22.738,5.55,86,62,1.387096774,5,6.14
W0104,F,2015,W0104.2015,2000,15,W0104.2014,3,s,Wcubs,3,no,1,M,2.5,O,W9909,UNKNOWN01,W9909.2000,714,2016,-23.38,4.4,102,59,1.728813559,5,8.9
W0219,F,2009,W0219.2009,2001,8,W0219.2009,2,b,Wcubs,1,yes,0,M,litterloss,O,W9008,W0202,W9008.2001,793,2010,-23.632,4.9,84,63,1.333333333,5,8.4
W0219,F,2010,W0219.2010,2001,9,W0219.2010,2,b,Wcubs,3,no,0,M,2.5,O,W9008,W0202,W9008.2001,667,2011,-23.37,4.58,80,61,1.31147541,4,10.76
W0231,F,2007,W0231.2007,1992,15,W0231.2007,2,b,Wcubs,2,no,0,M,2.5,O,W0121,W8809,W0121.1992,522,2008,-23.016,4.6,88,65,1.353846154,4,5.3544
W0425,F,2010,W0425.2010,2000,10,W0425.2010,2,b,Wcubs,2,no,0,M,1.5,O,W0325,NA,W0325.2000,670,2011,-22.93,4.18,65.4,57,1.147368421,4,9.74
W0504,F,2009,W0504.2009,2004,5,W0504.2009,2,b,Wcubs,2,yes,0,M,litterloss,O,W0326,W9301,W0326.2004,797,2010,-22.832,4.22,80,62,1.290322581,4,4.43
W0517,F,2010,W0517.2010,2001,9,W0517.2010,2,b,Wcubs,2,no,0,M,1.5,O,NA,NA,NA.2001,671,2011,-22.17,4.26,58,54,1.074074074,4,11.05
W0620,F,2011,W0620.2011,2005,6,W0620.2011,2,b,Wcubs,1,no,0,M,1.5,O,W0004,UNKNOWN06,W0004.2005,638,2012,-22.858,4.42,79,63,1.253968254,5,8
W0621,F,2012,W0621.2012,2005,7,W0621.2012,2,b,Wcubs,3,no,0,M,1.5,O,W9913,W0424,W9913.2005,592,2013,-23.176,4.21,86,62,1.387096774,4,27.41
W0713,F,2014,W0713.2014,2006,8,W0713.2014,2,b,Wcubs,2,no,0,M,2.5,O,W0517,UNKNOWN07,W0517.2006,723,2015,-23.192,4.68,62.8,56.5,1.111504425,4,16.66
W0716,F,2009,W0716.2009,2001,8,W0716.2009,2,b,Wcubs,3,no,0,M,1.5,O,NA,NA,NA.2001,845,2010,-23.332,3.94,89,60,1.483333333,4,14.58
W1017,F,2015,W1017.2015,2009,6,W1017.2015,2,b,Wcubs,1,no,0,M,1.5,O,W0237,V434511,W0237.2009,571,2016,-23.07,4.54,86.8,57,1.522807018,5,8.51
W1112,F,2015,W1112.2015,2010,5,W1112.2015,2,b,Wcubs,3,no,0,M,1.5,O,W0623,W0225,W0623.2010,581,2016,-23.44,4.85,89.6,62,1.44516129,5,7.77
W1319,F,2015,W1319.2015,2009,6,W1319.2015,2,b,Wcubs,3,no,0,M,1.5,O,NA,NA,NA.2009,567,2016,-23.51,4.36,72.6,57,1.273684211,5,10.22
W8808,F,1998,W8808.1998,1981,17,W8808.1998,2,b,Wcubs,3,no,0,M,1.5,O,NA,NA,NA.1981,157,1999,-22.774,4.21,90,61,1.475409836,4,5.0702
W8904,F,1999,W8904.1999,1987,12,W8904.1999,2,b,Wcubs,2,no,0,M,1.5,O,NA,W8804,NA.1987,215,2000,-22.772,5.17,107,60,1.783333333,4,4.0412
W8904,F,2002,W8904.2002,1987,15,W8904.2002,2,b,Wcubs,2,no,0,M,1.5,O,NA,W8804,NA.1987,842,2003,-23.116,4.39,84,60,1.4,4,7.69
W8904,F,2005,W8904.2005,1987,18,W8904.2005,2,b,Wcubs,3,no,0,M,1.5,O,NA,W8804,NA.1987,445,2006,-23.44,4.75,91,61,1.491803279,4,6.207
W8905,F,1995,W8905.1995,1987,8,W8905.1995,2,b,Wcubs,2,no,0,M,1.5,O,NA,W8804,NA.1987,38,1996,-22.66,4.29,85,59,1.440677966,4,4.3744
W9101,F,1997,W9101.1997,1990,7,W9101.1997,2,b,Wcubs,4,no,0,M,1.5,O,W8906,W8607,W8906.1990,125,1998,-23.206,4.09,95,62,1.532258065,4,3.6394
W9101,F,2000,W9101.2000,1990,10,W9101.2000,2,b,Wcubs,3,no,0,M,1.5,O,W8906,W8607,W8906.1990,837,2001,-22.84,4.29,93,61,1.524590164,4,9.62
W9306,F,1997,W9306.1997,1992,5,W9306.1997,2,b,Wcubs,2,no,0,M,1.5,O,W8906,UNKNOWN26,W8906.1992,128,1998,-22.886,3.8,84,58,1.448275862,4,3.316
W9307,F,1999,W9307.1999,1992,7,W9307.1999,2,b,Wcubs,3,no,0,M,1.5,O,W8906,UNKNOWN26,W8906.1992,219,2000,-22.902,4.77,89,59,1.508474576,4,4.8742
W9308,F,1997,W9308.1997,1988,9,W9308.1997,2,b,Wcubs,3,no,0,M,2.5,O,W8811,W8806,W8811.1988,129,1998,-22.686,4.26,95,63,1.507936508,4,4.2372
W9308,F,2002,W9308.2002,1988,14,W9308.2002,2,b,Wcubs,2,no,0,M,1.5,O,W8811,W8806,W8811.1988,859,2003,-22.736,4.34,101,65,1.553846154,4,9.38
W9308,F,2005,W9308.2005,1988,17,W9308.2005,2,b,Wcubs,4,no,0,M,2.5,O,W8811,W8806,W8811.1988,446,2006,-22.91,4.25,93,66,1.409090909,5,5.0114
W9310,F,2002,W9310.2002,1992,10,W9310.2002,2,b,Wcubs,2,no,0,M,2.5,O,W9308,W8807,W9308.1992,326,2003,-22.866,3.2,88,64,1.375,4,7.8338
