"","sampleID","BearID","pubname","year.sampled","year","bearyear.sampled","bearyear","sex","birth","age","repro","C13","N15","trophicpos","mass","headcirc","capturedate","Cmonth","cort.kit","cortisol","cortisol.kitcorrected","C13.suess","condition","fYEAR","fAGE"
"1","234","W0004","Öda","2000",1999,"W0004_2000","W0004_1999","F","1994",6,"WithCubs",-22.3,4.62,"2.83",95,59,2000-04-10,4,"1","3.43",5.0114,-22.652,1.61016949152542,1999,"6"
"2","280","W0004","Öda","2002",2001,"W0004_2002","W0004_2001","F","1994",8,"WithCubs",-22.42,4.27,"2.73",86,60,2002-04-22,4,"1","3.72",5.2956,-22.728,1.43333333333333,2001,"8"
"3","873","W0004","Öda","2004",2003,"W0004_2004","W0004_2003","F","1994",10,"WithCubs",-22.58,4.02,"2.65",95,62,2004-04-16,4,"2","6.34",6.34,-22.844,1.53225806451613,2003,"10"
"4","450","W0004","Öda","2006",2005,"W0004_2006","W0004_2005","F","1994",12,"WithCubs",-22.71,4.47,"2.79",95,64,2006-05-02,5,"1","4.3499999999999996",5.913,-22.93,1.484375,2005,"12"
"5","516","W0004","Öda","2008",2007,"W0004_2008","W0004_2007","F","1994",14,"WithCubs",-22.79,4.24,"2.72",88,65,2008-04-24,4,"1","3.25",4.835,-22.966,1.35384615384615,2007,"14"
"6","731","W0004","Öda","2009",2008,"W0004_2009","W0004_2008","F","1994",15,"SolitaryF",-22.61,4.06,"2.66",96,63,2009-04-17,4,"2","11.02",11.02,-22.764,1.52380952380952,2008,"15"
"7","235","W0005","Öda_k1:1","2000",1999,"W0005_2000","W0005_1999","M","1999",1,"WithMother",-22.47,5.44,"3.07",45,46,2000-04-10,4,"1","2.77",4.3646,-22.822,0.978260869565217,1999,"1"
"8","236","W0006","Sari_k2:1","2000",1999,"W0006_2000","W0006_1999","M","1999",1,"WithMother",-22.76,4.73,"2.86",32,40,2000-04-14,4,"1","3.73",5.3054,-23.112,0.8,1999,"1"
"9","237","W0007","Sari_k2:2","2000",1999,"W0007_2000","W0007_1999","M","1999",1,"WithMother",-22.75,4.76,"2.87",38,43,2000-04-14,4,"1","2.98",4.5704,-23.102,0.883720930232558,1999,"1"
"10","189","W0008","Vana","2000",1999,"W0008_2000","W0008_1999","F","1999",1,"WithMother",-22.93,4.65,"2.84",32,40,2000-04-14,4,"1","2.56",4.1588,-23.282,0.8,1999,"1"
"11","190","W0009","Binna_k1:1","2000",1999,"W0009_2000","W0009_1999","M","1999",1,"WithMother",-22.72,5.83,"3.19",37,39.5,2000-04-14,4,"1","2.19",3.7962,-23.072,0.936708860759494,1999,"1"
"12","200","W0010","Hirva","2000",1999,"W0010_2000","W0010_1999","F","1999",1,"WithMother",-22.8,5.23,"3.01",30,38.5,2000-04-15,4,"1","2.54",4.1392,-23.152,0.779220779220779,1999,"1"
"13","889","W0010","Hirva","2006",2005,"W0010_2006","W0010_2005","F","1999",7,"WithCubs",-23.33,4.37,"2.76",83,60,2006-04-19,4,"2","8.1",8.1,-23.55,1.38333333333333,2005,"7"
"14","517","W0010","Hirva","2008",2007,"W0010_2008","W0010_2007","F","1999",9,"WithCubs",-22.48,3.7,"2.56",81,58,2008-04-23,4,"1","3.24",4.8252,-22.656,1.39655172413793,2007,"9"
"15","201","W0011","Grivla_k1:2","2000",1999,"W0011_2000","W0011_1999","M","1999",1,"WithMother",-22.81,5.21,"3",32,39,2000-04-15,4,"1","2.19",3.7962,-23.162,0.82051282051282,1999,"1"
